Phi,EGR_fraction,T_ad_K,NO_ppm,CO_ppm,Ign_Delay_ms
0.8,0.0,1996.8870240525284,3076.5947275671724,514.1607280218385,7.199999999999984
0.8,0.017857142857142856,1963.2349676841668,2755.29567882188,427.19914766446146,7.249999999999984
0.8,0.03571428571428571,1929.6538858523825,2458.759661778777,348.77667266573945,7.349999999999984
0.8,0.05357142857142857,1896.1518260294251,2186.0509277913243,280.05293679883795,7.449999999999982
0.8,0.07142857142857142,1862.741124527043,1936.1880938460235,221.3031978099843,7.549999999999982
0.8,0.08928571428571427,1829.4366365276733,1708.1421869697633,172.1810504995892,7.6999999999999815
0.8,0.10714285714285714,1796.2542749096892,1500.8391872748562,131.93541106294117,7.79999999999998
0.8,0.125,1763.2098577479758,1313.1662146274225,99.58359634603089,7.94999999999998
0.8,0.14285714285714285,1730.3182496656566,1143.9803859029691,74.04358197390293,8.099999999999978
0.8,0.1607142857142857,1697.5927688263873,992.1193629292293,54.22981949551334,8.249999999999979
0.8,0.17857142857142855,1665.0448218233569,856.4126946528678,39.11794139208331,8.399999999999977
0.8,0.19642857142857142,1632.6837239311544,735.6932004075817,27.784123961463465,8.599999999999977
0.8,0.21428571428571427,1600.5166618455671,628.8078129494975,19.424817993542824,8.749999999999975
0.8,0.23214285714285712,1568.5487591151123,534.6274734465308,13.362100024336486,8.949999999999974
0.8,0.25,1536.7832097378353,452.0558272321869,9.039184735795997,9.149999999999972
1.0,0.0,2225.5245834770008,1888.2057584034224,8987.939083209361,7.6999999999999815
1.0,0.017857142857142856,2193.700274037949,1670.723947344821,8252.542850860389,7.7499999999999805
1.0,0.03571428571428571,2161.7651216173867,1468.0475787642001,7501.551735340888,7.79999999999998
1.0,0.05357142857142857,2129.6589565914583,1280.6235685768804,6751.605802793777,7.89999999999998
1.0,0.07142857142857142,2097.3325670576132,1108.6681794503795,6016.7128565051935,7.99999999999998
1.0,0.08928571428571427,2064.7474819443823,952.189583799383,5308.491245116628,8.099999999999978
1.0,0.10714285714285714,2031.8758341351675,811.004523857047,4636.345550966234,8.249999999999979
1.0,0.125,1998.7002176994597,684.7521643526111,4007.6005531746296,8.349999999999977
1.0,0.14285714285714285,1965.2134523937127,572.9076501082163,3427.61577447695,8.499999999999977
1.0,0.1607142857142857,1931.418176053989,474.7973085327709,2899.89965725109,8.649999999999975
1.0,0.17857142857142855,1897.3262023751483,389.6168152465328,2426.2385001307557,8.799999999999974
1.0,0.19642857142857142,1862.957607911587,316.4529544424222,2006.8504972813307,8.999999999999973
1.0,0.21428571428571427,1828.3395457234644,254.3088838149641,1640.5696651470646,9.149999999999972
1.0,0.23214285714285712,1793.5048196215625,202.13212784351083,1325.058582501542,9.349999999999971
1.0,0.25,1758.4902866566295,158.84396560950438,1057.043436185785,9.54999999999997
1.2,0.0,2136.521896470917,117.40828857014905,45201.08807014974,8.199999999999978
1.2,0.017857142857142856,2100.1433446494934,90.18188056165229,45155.31774357305,8.249999999999979
1.2,0.03571428571428571,2063.830963048125,68.11199976700206,44965.33843092819,8.299999999999978
1.2,0.05357142857142857,2027.620048575168,50.59752126569412,44651.13030493812,8.399999999999977
1.2,0.07142857142857142,1991.5439908396763,36.97704929125047,44229.26234437262,8.499999999999977
1.2,0.08928571428571427,1955.6327722584072,26.58887481562378,43713.47223290586,8.599999999999977
1.2,0.10714285714285714,1919.9120370465164,18.813311652073228,43115.180597496576,8.699999999999974
1.2,0.125,1884.402679947962,13.09854143193668,42443.92439448152,8.849999999999975
1.2,0.14285714285714285,1849.1208464892718,8.972794368674473,41707.71057263046,8.949999999999974
1.2,0.1607142857142857,1814.0782202847117,6.046350282194069,40913.29929067061,9.099999999999973
1.2,0.17857142857142855,1779.282482069155,4.006751369395609,40066.428812762606,9.299999999999972
1.2,0.19642857142857142,1744.7378484475287,2.6100990302931586,39171.9940652772,9.44999999999997
1.2,0.21428571428571427,1710.4456242870638,1.6706244257241876,38234.18931713362,9.64999999999997
1.2,0.23214285714285712,1676.4047257423877,1.0500494097971333,37256.62350497659,9.799999999999969
1.2,0.25,1642.6121501295713,0.6476816997191135,36242.414896968905,9.999999999999968
